nombre,distrito,lat,lon,potencia_kw,estado
 Mercadona Bolullos,Fuera de distrito,37.349171673324975,-6.136711553064288,22.0,Cuarentena
ALDI Mairena del Aljarafe,Fuera de distrito,37.351529719555344,-6.054559918363566,11.0,Cuarentena
ALDI Tomares,Fuera de distrito,37.369111124349374,-6.0393244376052735,7.4,Cuarentena
Acciona - Parque Guadaíra,Fuera de distrito,37.353421,-5.85826,100.0,Cuarentena
Aldi Alcalá de Guadaira (Atlante),Fuera de distrito,37.32484473665831,-5.853786175926643,100.0,Cuarentena
Aldi Bolullos (Atlante),Fuera de distrito,37.3506152393641,-6.138651235076168,100.0,Cuarentena
Aldi Bormujos,Fuera de distrito,37.364402164900284,-6.074864521988047,11.0,Cuarentena
Aldi Castilleja de la Cuesta,Fuera de distrito,37.38399818204415,-6.061324830675744,7.0,Cuarentena
Aldi Dos Hermanas (Atlante),Fuera de distrito,37.29025805359629,-5.943872860584861,100.0,Cuarentena
Aldi Gelves (Atlante),Fuera de distrito,37.34800632525146,-6.026862817209576,150.0,Cuarentena
Aldi La Rinconada,Fuera de distrito,37.47906076110033,-5.952214360520202,100.0,Cuarentena
Aldi Sanlucar la Mayor,Fuera de distrito,37.38492446047624,-6.192692117278057,100.0,Cuarentena
Apartamentos Simón Verde,Fuera de distrito,37.33693040867914,-6.0381836755427685,7.4,Cuarentena
Avenida San José de Calasanz,Fuera de distrito,37.34301222871525,-5.932353756219982,50.0,Cuarentena
Avenida de las Américas (Mairena del Aljarafe),Fuera de distrito,37.34924668603537,-6.050908832868572,50.0,Cuarentena
Avenida del Aljarafe (Aldi),Fuera de distrito,37.36884847555851,-6.039626154065672,22.0,Cuarentena
Ayunt. Castilleja. Calle Párroco Baldomero Delgado Pérez (Endesa),Fuera de distrito,37.38914281472766,-6.061665943892677,22.0,Cuarentena
Ayunt. Coria del Río,Fuera de distrito,37.28568014082981,-6.051699841887967,22.0,Cuarentena
Ayunt. Espartinas,Fuera de distrito,37.380184674790655,-6.12317859818404,22.0,Cuarentena
Ayunt. Espartinas. Policia Local,Fuera de distrito,37.382122928273944,-6.123263686565906,22.0,Cuarentena
Ayunt. Mairena. Calle Pablo Neruda,Fuera de distrito,37.352468696760965,-6.038971777358938,22.0,Cuarentena
Ayunt. Mairena. Calle Pozo Nuevo,Fuera de distrito,37.34426798549774,-6.065858154463058,22.0,Cuarentena
Ayunt. Mairena: Avenida Magdalena Sofía Barat ,Fuera de distrito,37.34725761899341,-6.041100735477812,22.0,Cuarentena
Ayunt. Mairena: Pol. Ind. PISA ,Fuera de distrito,37.35447651202857,-6.063180422285313,50.0,Cuarentena
Ayuntamiento La Rinconada Piscina,Fuera de distrito,37.492261456335044,-5.940168735722693,22.0,Cuarentena
BMW - San Pablo Motor,Fuera de distrito,37.368530713771946,-6.038145189804709,22.0,Cuarentena
BP Bemcir,Fuera de distrito,37.38580460389569,-6.046617983329952,150.0,Cuarentena
BP Espartinas,Fuera de distrito,37.382033727549384,-6.11531528218859,60.0,Cuarentena
BP Nuestra Sra. de Valme,Fuera de distrito,37.27423129549321,-5.931463813040864,150.0,Cuarentena
BP Pulse Bormujos,Fuera de distrito,37.38121456960867,-6.0644200936042125,100.0,Cuarentena
Ballenoil Palomares del Río,Fuera de distrito,37.319962290146734,-6.071996485268983,60.0,Cuarentena
Ballenoil San José de la Rinconada,Fuera de distrito,37.48765614939295,-5.933672914240333,22.0,Cuarentena
Ballenoil Tomares,Fuera de distrito,37.37818786125706,-6.029158304868815,22.0,Cuarentena
Burger King ,Fuera de distrito,37.479170693876455,-5.958440273920274,50.0,Cuarentena
