nombre_jugador|pais|equipo_local|equipo_visitante|fecha_partido|goles|asistencias
Vinicius Jr|Brasil|Brasil|España|2026-06-20|1|1
Kylian Mbappé|Francia|Francia|Argentina|2026-07-15|2|0
Vinicius Jr|Brasil|Brasil|España|2026-06-20|1|1
Lamine Yamal|España|Brasil|España|2026-06-20|1|0
Christian Pulisic|Estados unidos|EEUU|Australia|2026-06-14|1|2
Jude Bellingham|Inglaterra|Inglaterra|Colombia|2026-06-28|0|1
Lionel Messi|Argentina|Francia|Argentina|2026-07-15|1|1
Lautaro Martinez|Argentina|Argentina|Marruecos|2026-06-18|2|0
Erling Haaland|Noruega|Noruega|Japón|2026-06-12|3|0
Takefusa Kubo|Japón|Noruega|Japón|2026-06-12|1|0
Federico Valverde|Uruguay|Uruguay|Portugal|2026-06-22|1|0
Cristiano Ronaldo|Portugal|Uruguay|Portugal|2026-06-22|0|1
Alphonso Davies|Canadá|Canadá|Suiza|2026-06-13|0|1
Harry Kane|Inglaterra|Inglaterra|Colombia|2026-06-28|2|0
Luis Díaz|Colombia|Inglaterra|Colombia|2026-06-28|1|0
Julian Alvarez|Argentina|Argentina|Marruecos|2026-06-18|1|1
Achraf Hakimi|Marruecos|Argentina|Marruecos|2026-06-18|0|1
Pedri|España|Brasil|España|2026-06-20|0|2
Kylian Mbappé|Francia|Francia|Argentina|2026-07-15|2|0
Moises Caicedo|Ecuador|Ecuador|Holanda|2026-06-16|0|1
Cody Gakpo|Holanda|Ecuador|Holanda|2026-06-16|1|0
Bruno Fernandes|Portugal|Uruguay|Portugal|2026-06-22|1|1
