jugador_equipo;partido;goles;asistencias;fecha_partido
 Vinicius Jr - Brasil ;Brasil vs España;1;1;2026-06-20
Kylian Mbappé - Francia ;Francia vs Argentina;2;0;15/07/2026
 Vinicius Jr - Brasil ;Brasil vs España;1;1;2026-06-20
 Lamine Yamal - ESPAÑA ;Brasil vs España;1;NULL;2026-06-20
Endrick - brasil;Brasil vs España;1;0;06-20-2026
Santiago Giménez - México;México vs Sudáfrica;2;;2026/06/11
 Christian Pulisic - Estados Unidos;EEUU vs Australia;1;2;2026-06-14
 Jude Bellingham - Inglaterra;Inglaterra vs Colombia;0;1;2026-06-28
Lionel Messi - ARGENTINA;Francia vs Argentina;1;1;2026-07-15
 Lautaro Martinez - Argentina ;Argentina vs Marruecos;2;0;2026-06-18
Erling Haaland - Noruega;Noruega vs Japón;3;0;2026-06-12
 Takefusa Kubo - Japón ;Noruega vs Japón;1;NULL;12/06/2026
Federico Valverde - Uruguay;Uruguay vs Portugal;1;0;2026-06-22
Cristiano Ronaldo - PORTUGAL;Uruguay vs Portugal;0;1;2026-06-22
Jamal Musiala - Alemania;Alemania vs Nigeria;2;1;2026-06-15
 Florian Wirtz - Alemania ;Alemania vs Nigeria;1;2;2026-06-15
 Victor Osimhen - Nigeria ;Alemania vs Nigeria;1;;15-06-2026
Alphonso Davies - Canadá;Canadá vs Suiza;0;1;2026-06-13
Harry Kane - Inglaterra;Inglaterra vs Colombia;2;0;2026-06-28
Luis Díaz - Colombia;Inglaterra vs Colombia;1;0;2026-06-28
 Julian Alvarez - Argentina ;Argentina vs Marruecos;1;1;2026-06-18
 Achraf Hakimi - Marruecos ;Argentina vs Marruecos;0;1;2026-06-18
 Pedri - España ;Brasil vs España;0;2;2026-06-20
Kylian Mbappé - Francia ;Francia vs Argentina;2;0;15/07/2026
 Edson Alvarez - MÉXICO ;México vs Sudáfrica;0;1;2026/06/11
Moises Caicedo - Ecuador;Ecuador vs Holanda;0;1;2026-06-16
Cody Gakpo - Holanda;Ecuador vs Holanda;1;0;2026-06-16
 Son Heung-min - Corea del Sur ;Corea vs Italia;1;;2026-06-21
Nicolò Barella - Italia;Corea vs Italia;1;1;2026-06-21
 Bruno Fernandes - Portugal;Uruguay vs Portugal;1;1;2026-06-22
