VentaID,Fecha,ProductoID,VendedorID,ClienteID,UbicacionID,Cantidad,MontoTotal_Raw,fecha_parseada,_motivo_fecha,monto_eur,_motivo_monto
2,08/08/2026,3,3,3,3,3,22.0 €,2026-08-08,,22.0,
3,INVALID_DATE,4,4,4,4,4,18.5 USD,,Fecha inválida: INVALID_DATE,16.09,
5,05/08/2026,6,2,6,2,1,25.0 €,2026-08-05,,25.0,
6,08/04/2026,7,3,7,3,2,21.5 USD,2026-04-08,,18.7,
7,INVALID_DATE,1,4,1,4,3,27.0 €,,Fecha inválida: INVALID_DATE,27.0,
9,01/08/2026,3,2,3,2,5,24.5 USD,2026-08-01,,21.3,
10,07/31/2026,4,3,4,3,1,30.0 €,2026-07-31,,30.0,
11,INVALID_DATE,5,4,5,4,2,31.0 €,,Fecha inválida: INVALID_DATE,31.0,
12,2026-07-29,6,1,6,1,3,27.5 USD,2026-07-29,,23.91,
13,28/07/2026,7,2,7,2,4,33.0 €,2026-07-28,,33.0,
15,INVALID_DATE,2,4,2,4,1,30.5 USD,,Fecha inválida: INVALID_DATE,26.52,
16,2026-07-25,3,1,3,1,2,36.0 €,2026-07-25,,36.0,
17,24/07/2026,4,2,4,2,3,37.0 €,2026-07-24,,37.0,
19,INVALID_DATE,6,4,6,4,5,39.0 €,,Fecha inválida: INVALID_DATE,39.0,
20,2026-07-21,7,1,7,1,1,40.0 €,2026-07-21,,40.0,
23,INVALID_DATE,3,4,3,4,4,43.0 €,,Fecha inválida: INVALID_DATE,43.0,
24,2026-07-17,4,1,4,1,5,39.5 USD,2026-07-17,,34.35,
26,07/15/2026,6,3,6,3,2,46.0 €,2026-07-15,,46.0,
27,INVALID_DATE,7,4,7,4,3,42.5 USD,,Fecha inválida: INVALID_DATE,36.96,
30,07/11/2026,3,3,3,3,1,45.5 USD,2026-11-07,,39.57,
31,INVALID_DATE,4,4,4,4,2,51.0 €,,Fecha inválida: INVALID_DATE,51.0,
33,08/07/2026,6,2,6,2,4,NULL,2026-07-08,,,MontoTotal_Raw nulo o vacío: NULL
34,07/07/2026,7,3,7,3,5,54.0 €,2026-07-07,,54.0,
35,INVALID_DATE,1,4,1,4,1,55.0 €,,Fecha inválida: INVALID_DATE,55.0,
37,04/07/2026,3,2,3,2,3,57.0 €,2026-07-04,,57.0,
38,07/03/2026,4,3,4,3,4,58.0 €,2026-03-07,,58.0,
39,INVALID_DATE,5,4,5,4,5,54.5 USD,,Fecha inválida: INVALID_DATE,47.39,
40,2026-07-01,6,1,6,1,1,60.0 €,2026-07-01,,60.0,
41,30/06/2026,7,2,7,2,2,61.0 €,2026-06-30,,61.0,
43,INVALID_DATE,2,4,2,4,4,63.0 €,,Fecha inválida: INVALID_DATE,63.0,
44,2026-06-27,3,1,3,1,5,64.0 €,2026-06-27,,64.0,
45,26/06/2026,4,2,4,2,1,60.5 USD,2026-06-26,,52.61,
47,INVALID_DATE,6,4,6,4,3,67.0 €,,Fecha inválida: INVALID_DATE,67.0,
48,2026-06-23,7,1,7,1,4,63.5 USD,2026-06-23,,55.22,
50,06/21/2026,2,3,2,3,1,-150.00 €,2026-06-21,,,MontoTotal_Raw negativo: -150.00 €
51,INVALID_DATE,3,4,3,4,2,66.5 USD,,Fecha inválida: INVALID_DATE,57.83,
52,2026-06-19,4,1,4,1,3,72.0 €,2026-06-19,,72.0,
54,06/17/2026,6,3,6,3,5,69.5 USD,2026-06-17,,60.43,
55,INVALID_DATE,7,4,7,4,1,75.0 €,,Fecha inválida: INVALID_DATE,75.0,
58,06/13/2026,3,3,3,3,4,78.0 €,2026-06-13,,78.0,
59,INVALID_DATE,4,4,4,4,5,79.0 €,,Fecha inválida: INVALID_DATE,79.0,
61,10/06/2026,6,2,6,2,2,81.0 €,2026-06-10,,81.0,
62,06/09/2026,7,3,7,3,3,82.0 €,2026-09-06,,82.0,
63,INVALID_DATE,1,4,1,4,4,78.5 USD,,Fecha inválida: INVALID_DATE,68.26,
65,06/06/2026,3,2,3,2,1,85.0 €,2026-06-06,,85.0,
66,06/05/2026,4,3,4,3,2,NULL,2026-05-06,,,MontoTotal_Raw nulo o vacío: NULL
67,INVALID_DATE,5,4,5,4,3,87.0 €,,Fecha inválida: INVALID_DATE,87.0,
68,2026-06-03,6,1,6,1,4,88.0 €,2026-06-03,,88.0,
69,02/06/2026,7,2,7,2,5,84.5 USD,2026-06-02,,73.48,
71,INVALID_DATE,2,4,2,4,2,91.0 €,,Fecha inválida: INVALID_DATE,91.0,
72,2026-05-30,3,1,3,1,3,87.5 USD,2026-05-30,,76.09,
73,29/05/2026,4,2,4,2,4,93.0 €,2026-05-29,,93.0,
