VentaID,Fecha,ProductoID,VendedorID,ClienteID,UbicacionID,Cantidad,MontoTotal_Raw,fecha_parseada,_motivo_fecha,monto_eur,_motivo_monto
1,09/08/2026,2,2,2,2,2,21.0 €,2026-08-09,,21.0,
4,2026-08-06,5,1,5,1,5,24.0 €,2026-08-06,,24.0,
8,2026-08-02,2,1,2,1,4,28.0 €,2026-08-02,,28.0,
14,07/27/2026,1,3,1,3,5,34.0 €,2026-07-27,,34.0,
18,07/23/2026,5,3,5,3,4,33.5 USD,2026-07-23,,29.13,
21,20/07/2026,1,2,1,2,2,36.5 USD,2026-07-20,,31.74,
22,07/19/2026,2,3,2,3,3,42.0 €,2026-07-19,,42.0,
25,16/07/2026,5,2,5,2,1,45.0 €,2026-07-16,,45.0,
28,2026-07-13,1,1,1,1,4,48.0 €,2026-07-13,,48.0,
29,12/07/2026,2,2,2,2,5,49.0 €,2026-07-12,,49.0,
32,2026-07-09,5,1,5,1,3,52.0 €,2026-07-09,,52.0,
36,2026-07-05,2,1,2,1,2,51.5 USD,2026-07-05,,44.78,
42,06/29/2026,1,3,1,3,3,57.5 USD,2026-06-29,,50.0,
46,06/25/2026,5,3,5,3,2,66.0 €,2026-06-25,,66.0,
49,22/06/2026,1,2,1,2,5,69.0 €,2026-06-22,,69.0,
53,18/06/2026,5,2,5,2,4,73.0 €,2026-06-18,,73.0,
56,2026-06-15,1,1,1,1,2,76.0 €,2026-06-15,,76.0,
57,14/06/2026,2,2,2,2,3,72.5 USD,2026-06-14,,63.04,
60,2026-06-11,5,1,5,1,1,75.5 USD,2026-06-11,,65.65,
64,2026-06-07,2,1,2,1,5,84.0 €,2026-06-07,,84.0,
70,06/01/2026,1,3,1,3,1,90.0 €,2026-01-06,,90.0,
74,05/28/2026,5,3,5,3,5,94.0 €,2026-05-28,,94.0,
77,25/05/2026,1,2,1,2,3,97.0 €,2026-05-25,,97.0,
78,05/24/2026,2,3,2,3,4,93.5 USD,2026-05-24,,81.3,
81,21/05/2026,5,2,5,2,2,96.5 USD,2026-05-21,,83.91,
84,2026-05-18,1,1,1,1,5,99.5 USD,2026-05-18,,86.52,
85,17/05/2026,2,2,2,2,1,105.0 €,2026-05-17,,105.0,
88,2026-05-14,5,1,5,1,4,108.0 €,2026-05-14,,108.0,
92,2026-05-10,2,1,2,1,3,112.0 €,2026-05-10,,112.0,
98,05/04/2026,1,3,1,3,4,118.0 €,2026-04-05,,118.0,
102,04/30/2026,5,3,5,3,3,117.5 USD,2026-04-30,,102.17,
105,27/04/2026,1,2,1,2,1,120.5 USD,2026-04-27,,104.78,
106,04/26/2026,2,3,2,3,2,126.0 €,2026-04-26,,126.0,
109,23/04/2026,5,2,5,2,5,129.0 €,2026-04-23,,129.0,
112,2026-04-20,1,1,1,1,3,132.0 €,2026-04-20,,132.0,
113,19/04/2026,2,2,2,2,4,133.0 €,2026-04-19,,133.0,
116,2026-04-16,5,1,5,1,2,136.0 €,2026-04-16,,136.0,
120,2026-04-12,2,1,2,1,1,135.5 USD,2026-04-12,,117.83,
126,04/06/2026,1,3,1,3,2,141.5 USD,2026-06-04,,123.04,
130,04/02/2026,5,3,5,3,1,150.0 €,2026-02-04,,150.0,
133,30/03/2026,1,2,1,2,4,153.0 €,2026-03-30,,153.0,
134,03/29/2026,2,3,2,3,5,154.0 €,2026-03-29,,154.0,
137,26/03/2026,5,2,5,2,3,157.0 €,2026-03-26,,157.0,
140,2026-03-23,1,1,1,1,1,160.0 €,2026-03-23,,160.0,
141,22/03/2026,2,2,2,2,2,156.5 USD,2026-03-22,,136.09,
144,2026-03-19,5,1,5,1,5,159.5 USD,2026-03-19,,138.7,
148,2026-03-15,2,1,2,1,4,168.0 €,2026-03-15,,168.0,
154,03/09/2026,1,3,1,3,5,24.0 €,2026-09-03,,24.0,
158,03/05/2026,5,3,5,3,4,28.0 €,2026-05-03,,28.0,
161,02/03/2026,1,2,1,2,2,31.0 €,2026-03-02,,31.0,
162,03/01/2026,2,3,2,3,3,177.5 USD,2026-01-03,,154.35,
168,2026-02-23,1,1,1,1,4,183.5 USD,2026-02-23,,159.57,
169,22/02/2026,2,2,2,2,5,39.0 €,2026-02-22,,39.0,
172,2026-02-19,5,1,5,1,3,42.0 €,2026-02-19,,42.0,
176,2026-02-15,2,1,2,1,2,46.0 €,2026-02-15,,46.0,
182,02/09/2026,1,3,1,3,3,52.0 €,2026-09-02,,52.0,
186,02/05/2026,5,3,5,3,2,201.5 USD,2026-05-02,,175.22,
189,02/02/2026,1,2,1,2,5,204.5 USD,2026-02-02,,177.83,
190,02/01/2026,2,3,2,3,1,60.0 €,2026-01-02,,60.0,
193,29/01/2026,5,2,5,2,4,63.0 €,2026-01-29,,63.0,
196,2026-01-26,1,1,1,1,2,66.0 €,2026-01-26,,66.0,
197,25/01/2026,2,2,2,2,3,67.0 €,2026-01-25,,67.0,
204,2026-01-18,2,1,2,1,5,19.5 USD,2026-01-18,,16.96,
210,01/12/2026,1,3,1,3,1,25.5 USD,2026-12-01,,22.17,
214,01/08/2026,5,3,5,3,5,84.0 €,2026-08-01,,84.0,
217,05/01/2026,1,2,1,2,3,87.0 €,2026-01-05,,87.0,
218,01/04/2026,2,3,2,3,4,88.0 €,2026-04-01,,88.0,
221,01/01/2026,5,2,5,2,2,91.0 €,2026-01-01,,91.0,
224,2025-12-29,1,1,1,1,5,94.0 €,2025-12-29,,94.0,
225,28/12/2025,2,2,2,2,1,40.5 USD,2025-12-28,,35.22,
228,2025-12-25,5,1,5,1,4,43.5 USD,2025-12-25,,37.83,
232,2025-12-21,2,1,2,1,3,102.0 €,2025-12-21,,102.0,
238,12/15/2025,1,3,1,3,4,108.0 €,2025-12-15,,108.0,
242,12/11/2025,5,3,5,3,3,112.0 €,2025-11-12,,112.0,
245,08/12/2025,1,2,1,2,1,115.0 €,2025-12-08,,115.0,
246,12/07/2025,2,3,2,3,2,61.5 USD,2025-07-12,,53.48,
249,04/12/2025,5,2,5,2,5,64.5 USD,2025-12-04,,56.09,
252,2025-12-01,1,1,1,1,3,67.5 USD,2025-12-01,,58.7,
253,30/11/2025,2,2,2,2,4,123.0 €,2025-11-30,,123.0,
256,2025-11-27,5,1,5,1,2,126.0 €,2025-11-27,,126.0,
260,2025-11-23,2,1,2,1,1,130.0 €,2025-11-23,,130.0,
266,11/17/2025,1,3,1,3,2,136.0 €,2025-11-17,,136.0,
270,11/13/2025,5,3,5,3,1,85.5 USD,2025-11-13,,74.35,
273,10/11/2025,1,2,1,2,4,88.5 USD,2025-11-10,,76.96,
274,11/09/2025,2,3,2,3,5,144.0 €,2025-09-11,,144.0,
277,06/11/2025,5,2,5,2,3,147.0 €,2025-11-06,,147.0,
280,2025-11-03,1,1,1,1,1,150.0 €,2025-11-03,,150.0,
281,02/11/2025,2,2,2,2,2,151.0 €,2025-11-02,,151.0,
284,2025-10-30,5,1,5,1,5,154.0 €,2025-10-30,,154.0,
288,2025-10-26,2,1,2,1,4,103.5 USD,2025-10-26,,90.0,
294,10/20/2025,1,3,1,3,5,109.5 USD,2025-10-20,,95.22,
298,10/16/2025,5,3,5,3,4,168.0 €,2025-10-16,,168.0,
301,13/10/2025,1,2,1,2,2,21.0 €,2025-10-13,,21.0,
302,10/12/2025,2,3,2,3,3,22.0 €,2025-12-10,,22.0,
305,09/10/2025,5,2,5,2,1,25.0 €,2025-10-09,,25.0,
308,2025-10-06,1,1,1,1,4,28.0 €,2025-10-06,,28.0,
309,05/10/2025,2,2,2,2,5,124.5 USD,2025-10-05,,108.26,
312,2025-10-02,5,1,5,1,3,127.5 USD,2025-10-02,,110.87,
316,2025-09-28,2,1,2,1,2,36.0 €,2025-09-28,,36.0,
322,09/22/2025,1,3,1,3,3,42.0 €,2025-09-22,,42.0,
326,09/18/2025,5,3,5,3,2,46.0 €,2025-09-18,,46.0,
329,15/09/2025,1,2,1,2,5,49.0 €,2025-09-15,,49.0,
333,11/09/2025,5,2,5,2,4,148.5 USD,2025-09-11,,129.13,
336,2025-09-08,1,1,1,1,2,151.5 USD,2025-09-08,,131.74,
337,07/09/2025,2,2,2,2,3,57.0 €,2025-09-07,,57.0,
340,2025-09-04,5,1,5,1,1,60.0 €,2025-09-04,,60.0,
344,2025-08-31,2,1,2,1,5,64.0 €,2025-08-31,,64.0,
354,08/21/2025,5,3,5,3,5,169.5 USD,2025-08-21,,147.39,
357,18/08/2025,1,2,1,2,3,172.5 USD,2025-08-18,,150.0,
358,08/17/2025,2,3,2,3,4,78.0 €,2025-08-17,,78.0,
361,14/08/2025,5,2,5,2,2,81.0 €,2025-08-14,,81.0,
364,2025-08-11,1,1,1,1,5,84.0 €,2025-08-11,,84.0,
365,10/08/2025,2,2,2,2,1,85.0 €,2025-08-10,,85.0,
368,2025-08-07,5,1,5,1,4,88.0 €,2025-08-07,,88.0,
372,2025-08-03,2,1,2,1,3,187.5 USD,2025-08-03,,163.04,
378,07/28/2025,1,3,1,3,4,193.5 USD,2025-07-28,,168.26,
382,07/24/2025,5,3,5,3,3,102.0 €,2025-07-24,,102.0,
385,21/07/2025,1,2,1,2,1,105.0 €,2025-07-21,,105.0,
386,07/20/2025,2,3,2,3,2,106.0 €,2025-07-20,,106.0,
389,17/07/2025,5,2,5,2,5,109.0 €,2025-07-17,,109.0,
392,2025-07-14,1,1,1,1,3,112.0 €,2025-07-14,,112.0,
393,13/07/2025,2,2,2,2,4,208.5 USD,2025-07-13,,181.3,
406,06/30/2025,1,3,1,3,2,126.0 €,2025-06-30,,126.0,
410,06/26/2025,5,3,5,3,1,130.0 €,2025-06-26,,130.0,
413,23/06/2025,1,2,1,2,4,133.0 €,2025-06-23,,133.0,
414,06/22/2025,2,3,2,3,5,29.5 USD,2025-06-22,,25.65,
417,19/06/2025,5,2,5,2,3,32.5 USD,2025-06-19,,28.26,
420,2025-06-16,1,1,1,1,1,35.5 USD,2025-06-16,,30.87,
421,15/06/2025,2,2,2,2,2,141.0 €,2025-06-15,,141.0,
424,2025-06-12,5,1,5,1,5,144.0 €,2025-06-12,,144.0,
428,2025-06-08,2,1,2,1,4,148.0 €,2025-06-08,,148.0,
434,06/02/2025,1,3,1,3,5,154.0 €,2025-02-06,,154.0,
438,05/29/2025,5,3,5,3,4,53.5 USD,2025-05-29,,46.52,
441,26/05/2025,1,2,1,2,2,56.5 USD,2025-05-26,,49.13,
442,05/25/2025,2,3,2,3,3,162.0 €,2025-05-25,,162.0,
445,22/05/2025,5,2,5,2,1,165.0 €,2025-05-22,,165.0,
448,2025-05-19,1,1,1,1,4,168.0 €,2025-05-19,,168.0,
449,18/05/2025,2,2,2,2,5,169.0 €,2025-05-18,,169.0,
452,2025-05-15,5,1,5,1,3,22.0 €,2025-05-15,,22.0,
456,2025-05-11,2,1,2,1,2,71.5 USD,2025-05-11,,62.17,
466,05/01/2025,5,3,5,3,2,36.0 €,2025-01-05,,36.0,
469,28/04/2025,1,2,1,2,5,39.0 €,2025-04-28,,39.0,
470,04/27/2025,2,3,2,3,1,40.0 €,2025-04-27,,40.0,
473,24/04/2025,5,2,5,2,4,43.0 €,2025-04-24,,43.0,
476,2025-04-21,1,1,1,1,2,46.0 €,2025-04-21,,46.0,
477,20/04/2025,2,2,2,2,3,92.5 USD,2025-04-20,,80.43,
480,2025-04-17,5,1,5,1,1,95.5 USD,2025-04-17,,83.04,
484,2025-04-13,2,1,2,1,5,54.0 €,2025-04-13,,54.0,
490,04/07/2025,1,3,1,3,1,60.0 €,2025-07-04,,60.0,
494,04/03/2025,5,3,5,3,5,64.0 €,2025-03-04,,64.0,
